verse	id	confidence	placement	method	text
Gen.32.24	Gen.32.24-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O Varón; aquí y en los versículos 25–28; los pronombres correspondientes también pueden escribirse con mayúscula
Gen.32.30	Gen.32.30-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Peniel significa el rostro de Dios.
Gen.32.31	Gen.32.31-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Penuel es una variante de Peniel; véase el versículo 30.
Gen.33.11	Gen.33.11-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O bendición o pacto de paz
Gen.33.18	Gen.33.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, el noroeste de Mesopotamia
Gen.35.4	Gen.35.4-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O terebinto o gran árbol
Gen.35.7	Gen.35.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El-bet-el significa Dios de Bet-el.
Gen.35.8	Gen.35.8-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O gran árbol
Gen.35.9	Gen.35.9-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, el noroeste de Mesopotamia; también en el versículo 26
Gen.35.18	Gen.35.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Ben-oni podría significar hijo de mi dolor o hijo de mi fuerza.
Gen.36.16	Gen.36.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo; SP (también en el versículo 11 y 1 Crónicas 1:36) no incluye Coré.
Gen.36.22	Gen.36.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hemam es una variante de Homam; véase 1 Crónicas 1:39.
Gen.36.26	Gen.36.26-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo Disán, una variante de Disón
Gen.36.37	Gen.36.37-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo el Río
Gen.36.39	Gen.36.39-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Algunos manuscritos del TM, SP y Siríaco (véase también 1 Crónicas 1:50); otros manuscritos del TM Hadar
Gen.37.36	Gen.37.36-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo los medanitas
Gen.38.23	Gen.38.23-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O seremos menospreciados
Gen.40.19	Gen.40.19-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O y te empalarán en una estaca; similarmente en el versículo 22
Gen.41.34	Gen.41.34-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Véase LXX; TM un quinto de la tierra
Gen.41.45	Gen.41.45-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Zafenat-panea probablemente significa Revelador de misterios o Dios habla y vive.
Gen.41.45	Gen.41.45-fn2	fallback	verse_end	source_anchor_word_not_semantically_specific	Es decir, Heliópolis, como en LXX; también en el versículo 50
Gen.42.25	Gen.42.25-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O dinero; aquí y en los capítulos 42–44
Gen.44.5	Gen.44.5-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo ¿No es esta la que
Gen.46.10	Gen.46.10-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Jemuel es otro nombre para Nemuel; véase Números 26:12.
Gen.46.10	Gen.46.10-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Zohar es una variante de Zera; véase Números 26:13 y 1 Crónicas 4:24.
Gen.46.13	Gen.46.13-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo; SP y Siríaco Fúa; véase 1 Crónicas 7:1.
Gen.46.13	Gen.46.13-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo; SP y algunos manuscritos LXX Jasub; véase Números 26:24 y 1 Crónicas 7:1.
Gen.46.16	Gen.46.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	SP y LXX Zefón; véase también Números 26:15.
Gen.46.16	Gen.46.16-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Arodi es una variante de Arod; véase Números 26:17.
Gen.47.9	Gen.47.9-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo peregrinaciones; dos veces en este versículo
Gen.47.21	Gen.47.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	SP, LXX, Vulgata; hebreo trasladó al pueblo a las ciudades
Gen.48.7	Gen.48.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, el noroeste de Mesopotamia
Gen.48.22	Gen.48.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O una porción de tierra; hebreo shekem, que suena como el pueblo y distrito llamado Siquem
Gen.49.5	Gen.49.5-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O moradas
Gen.49.10	Gen.49.10-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	O hasta que venga Aquel a quien pertenece el tributo
Gen.49.26	Gen.49.26-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O de mis antepasados
Gen.50.23	Gen.50.23-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	O nacido o puesto al nacer
Exod.1.5	Exod.1.5-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	TM (véase también Génesis 46:27); DSS y LXX (véase también Hechos 7:14) setenta y cinco
Exod.1.22	Exod.1.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	SP, LXX y Targum Yonatán; el hebreo no incluye a los hebreos.
Exod.2.3	Exod.2.3-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El hebreo también puede significar arca; también en el versículo 5; véase Génesis 6:14.
Exod.2.11	Exod.2.11-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O sus hermanos
Exod.2.14	Exod.2.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en Hechos 7:27 y Hechos 7:35
Exod.2.18	Exod.2.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Reuel también era llamado Jetro; véase Éxodo 3:1.
Exod.2.22	Exod.2.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Gersón suena como el hebreo para extranjero.
Exod.3.1	Exod.3.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El suegro de Moisés, Jetro, también era llamado Reuel; véase Éxodo 2:18.
Exod.3.14	Exod.3.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O YO SOY EL QUE SOY
Exod.4.3	Exod.4.3-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo nachash, en contraste con la vara de Aarón, que se convirtió en tannin en Éxodo 7:10
Exod.4.6	Exod.4.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo en tu seno; dos veces en este versículo y dos veces en el versículo 7
Exod.4.6	Exod.4.6-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	La palabra hebrea traducida tradicionalmente como leprosa se usaba para diversas enfermedades de la piel; véase Levítico 13.
Exod.4.18	Exod.4.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El suegro de Moisés, Jetro, también era llamado Reuel; véase Éxodo 2:18.
Exod.4.21	Exod.4.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endurecer o fortalecer
Exod.4.24	Exod.4.24-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo él
Exod.6.15	Exod.6.15-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Zohar es una variante de Zera; véase Números 26:13 y 1 Crónicas 4:24.
Exod.6.22	Exod.6.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Elzafán es una variante de Elizafán; véase Números 3:30.
Exod.6.24	Exod.6.24-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Abiasaf es una variante de Ebiasaf; véase 1 Crónicas 6:23 y 1 Crónicas 9:19.
Exod.7.13	Exod.7.13-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endureció o fortaleció; también en el versículo 22
Exod.7.14	Exod.7.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O pesado o terco
Exod.7.20	Exod.7.20-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo él alzó la vara; véase el versículo 19; algunos traductores Moisés alzó la vara.
Exod.8.15	Exod.8.15-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endureció; también en el versículo 32
Exod.8.19	Exod.8.19-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endureció o fortaleció
Exod.8.21	Exod.8.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente una mezcla nociva; también en los versículos 22, 24, 29 y 31
Exod.8.23	Exod.8.23-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	LXX y Vulgata; hebreo pondré redención
Exod.9.7	Exod.9.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endureció; también en el versículo 34
Exod.9.14	Exod.9.14-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	Hebreo contra tu corazón o contra tu hombre interior
Exod.9.16	Exod.9.16-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	O te he preservado
Exod.9.16	Exod.9.16-fn2	fallback	verse_end	source_anchor_word_not_semantically_specific	LXX en ti
Exod.10.1	Exod.10.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endureció
Exod.11.7	Exod.11.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Algunos traductores cierran esta cita al final del versículo.
Exod.11.10	Exod.11.10-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endureció o fortaleció
Exod.12.7	Exod.12.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente sobre los dos postes de la puerta y sobre el dintel; similarmente en los versículos 22 y 23
Exod.12.11	Exod.12.11-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente Ciñe tus lomos
Exod.13.2	Exod.13.2-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en Lucas 2:23
Exod.13.4	Exod.13.4-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Abib era el primer mes del antiguo calendario lunar hebreo, que generalmente ocurría dentro de los meses de marzo y abril.
Exod.14.4	Exod.14.4-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O endurecer o fortalecer; similarmente en los versículos 8 y 17
Exod.14.25	Exod.14.25-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O desviarse o desprenderse o atar; véase también SP, LXX y Siríaco.
Exod.15.23	Exod.15.23-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Marah significa amargo.
Exod.16.1	Exod.16.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El nombre geográfico Sin está relacionado con Sinaí y no debe confundirse con la palabra inglesa sin.
Exod.16.16	Exod.16.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Un omer equivale aproximadamente a 2.2 litros; también en los versículos 18, 32, 33 y 36.
Exod.16.18	Exod.16.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en 2 Corintios 8:15
Exod.16.22	Exod.16.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	2 ómeres equivalen aproximadamente a 4.4 litros por persona.
Exod.17.1	Exod.17.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El nombre geográfico Sin está relacionado con Sinaí y no debe confundirse con la palabra inglesa sin.
Exod.17.7	Exod.17.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Masah significa prueba.
Exod.18.1	Exod.18.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El suegro de Moisés, Jetro, también era llamado Reuel; véase Éxodo 2:18.
Exod.18.3	Exod.18.3-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Gersón suena como el hebreo para extranjero.
Exod.19.1	Exod.19.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo En el tercer mes, el mismo día; es decir, dos meses después de salir de Egipto; véase Números 33:3.
Exod.20.6	Exod.20.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O a millares
Exod.21.8	Exod.21.8-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O para que él no la designe para sí
Exod.21.17	Exod.21.17-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O deshonra o difama
Exod.21.22	Exod.21.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O ella tiene un aborto espontáneo
Exod.21.24	Exod.21.24-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en Mateo 5:38
Exod.22.9	Exod.22.9-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O a quien Dios condene
Exod.23.16	Exod.23.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, Shavuot, la fiesta de peregrinación de finales de primavera a Jerusalén; también se conoce como la Fiesta de las Semanas (véase Éxodo 34:22) o la Fiesta de Pentecostés (véase Hechos 2:1).
Exod.23.16	Exod.23.16-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, Sucot, la fiesta de peregrinación de otoño a Jerusalén; más tarde se llama la Fiesta de los Tabernáculos (o Cabañas o Enramadas).
Exod.23.25	Exod.23.25-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	LXX y Vulgata bendeciré
Exod.26.17	Exod.26.17-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, piezas de madera que sobresalen y están hechas para insertarse en otra pieza; similarmente en el versículo 19.
Exod.27.9	Exod.27.9-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	100 codos equivalen aproximadamente a 45.7 metros; también en el versículo 11.
Exod.27.18	Exod.27.18-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	5 codos equivalen aproximadamente a 2.3 metros.
Exod.28.30	Exod.28.30-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente Luces y Perfecciones
Exod.28.32	Exod.28.32-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El significado de la palabra hebrea es incierto; posiblemente una cota de malla.
Exod.29.40	Exod.29.40-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo un cuarto de hin de aceite prensado; es decir, aproximadamente 0.92 litros
Exod.30.8	Exod.30.8-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo entre las dos tardes
Exod.30.13	Exod.30.13-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	20 gerahs equivalen a un siclo (aproximadamente 11.4 gramos).
Exod.30.23	Exod.30.23-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	500 siclos equivalen aproximadamente a 5.7 kilogramos de mirra.
Exod.30.23	Exod.30.23-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	250 siclos equivalen aproximadamente a 2.9 kilogramos de canela.
Exod.30.24	Exod.30.24-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	500 siclos equivalen aproximadamente a 5.7 kilogramos de casia.
Exod.32.25	Exod.32.25-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O y convertirse en objeto de burla
Exod.32.29	Exod.32.29-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O se han consagrado
Exod.34.7	Exod.34.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo a millares
Exod.34.18	Exod.34.18-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Abib era el primer mes del antiguo calendario lunar hebreo, que generalmente ocurría dentro de los meses de marzo y abril; dos veces en este versículo.
Exod.34.22	Exod.34.22-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, Sucot, la fiesta de peregrinación de otoño a Jerusalén; más tarde se llama la Fiesta de los Tabernáculos (o Cabañas o Enramadas).
Exod.36.22	Exod.36.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, piezas de madera que sobresalen y están hechas para insertarse en otra pieza; similarmente en el versículo 24.
Exod.37.12	Exod.37.12-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Un palmo equivale aproximadamente a 7.4 centímetros.
Exod.38.1	Exod.38.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente Él construyó
Exod.38.14	Exod.38.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	15 codos equivalen aproximadamente a 6.9 metros.
Exod.38.18	Exod.38.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	20 codos equivalen aproximadamente a 9.1 metros.
Exod.39.2	Exod.39.2-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente Él hizo
Exod.39.10	Exod.39.10-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	La identificación precisa de algunas de estas piedras preciosas es incierta.
Exod.39.23	Exod.39.23-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	El significado de la palabra hebrea es incierto; posiblemente una cota de malla.
Lev.1.16	Lev.1.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O el buche y las plumas
Lev.2.7	Lev.2.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, una olla honda o cacerola
Lev.5.15	Lev.5.15-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O del rebaño o su equivalencia
Lev.5.19	Lev.5.19-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O ha pagado plena compensación
Lev.6.21	Lev.6.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, una sartén poco profunda para hornear o freír
Lev.6.21	Lev.6.21-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	O horneado
Lev.7.9	Lev.7.9-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Es decir, una olla honda o cacerola
Lev.10.1	Lev.10.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O extraño
Lev.10.4	Lev.10.4-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Elzafán es una variante de Elizafán; véase Números 3:30.
Lev.10.6	Lev.10.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O No descubras tu cabeza
Lev.11.4	Lev.11.4-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	La identificación precisa de algunas de las aves y animales en este capítulo es incierta.
Lev.11.5	Lev.11.5-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O El conejo o El damán
Lev.11.16	Lev.11.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente la hija del avestruz o la hija del búho
Lev.11.26	Lev.11.26-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente una pezuña hendida no completamente dividida
Lev.12.8	Lev.12.8-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en Lucas 2:24
Lev.13.2	Lev.13.2-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Las formas del hebreo tzaraath, traducidas tradicionalmente como lepra, se usaban para diversas enfermedades de la piel; aquí y en los versículos 3–46.
Lev.13.45	Lev.13.45-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O descubra su cabeza
Lev.13.47	Lev.13.47-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Las formas del hebreo tzaraath, traducidas tradicionalmente como lepra con respecto a las enfermedades de la piel, se traducen como moho con respecto a las manchas en prendas, utensilios o edificios; aquí y en el resto de este capítulo.
Lev.14.2	Lev.14.2-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Las formas del hebreo tzaraath, traducidas tradicionalmente como lepra, se usaban para diversas enfermedades de la piel; también en los versículos 3, 7, 32, 54 y 57.
Lev.14.31	Lev.14.31-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	LXX y Siríaco; hebreo incluye según su capacidad económica,
Lev.14.34	Lev.14.34-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Las formas del hebreo tzaraath, traducidas tradicionalmente como lepra con respecto a las enfermedades de la piel, se traducen como moho con respecto a las manchas en prendas, utensilios o edificios; aquí y en el resto de este capítulo.
Lev.16.2	Lev.16.2-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O el Lugar Santo; también en los versículos 16, 17, 20, 23 y 27
Lev.16.29	Lev.16.29-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O afligir sus almas o negarse a sí mismos; también en el versículo 31
Lev.16.33	Lev.16.33-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O el Santuario Santo
Lev.18.5	Lev.18.5-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	Citado en Romanos 10:5 y Gálatas 3:12; véase también Ezequiel 20:11, 13 y 21.
Lev.18.6	Lev.18.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente para descubrir (su) desnudez; aquí y en todo este capítulo
Lev.18.21	Lev.18.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo para hacerlos pasar (por el fuego)
Lev.19.16	Lev.19.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente sangre
